"STATION","NAME","DATE","DLY-DUTR-NORMAL","DLY-DUTR-STDDEV","DLY-TAVG-NORMAL","DLY-TAVG-STDDEV","DLY-TMAX-NORMAL","DLY-TMAX-STDDEV","DLY-TMIN-NORMAL","DLY-TMIN-STDDEV"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-03","-5.9","-12.4","5.7","-13.9","11.6","-12.3","-0.2","-14.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-04","-5.9","-12.4","5.9","-13.9","11.8","-12.3","-0.1","-14.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-05","-5.9","-12.3","6.1","-13.9","12.1","-12.2","0.2","-14.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-06","-5.8","-12.3","6.3","-13.9","12.3","-12.2","0.3","-14.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-07","-5.8","-12.3","6.5","-13.8","12.5","-12.1","0.5","-14.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-08","-5.7","-12.2","6.7","-13.8","12.7","-12.1","0.7","-14.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-09","-5.7","-12.2","6.9","-13.8","13.0","-12.1","0.9","-14.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-10","-5.6","-12.2","7.1","-13.8","13.2","-12.0","1.1","-14.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-11","-5.6","-12.1","7.3","-13.7","13.4","-11.9","1.2","-14.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-12","-5.4","-12.1","7.6","-13.7","13.7","-11.9","1.4","-14.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-13","-5.4","-12.1","7.7","-13.7","13.9","-11.9","1.6","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-14","-5.3","-12.1","7.9","-13.7","14.2","-11.8","1.7","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-15","-5.3","-12.1","8.2","-13.6","14.4","-11.8","1.9","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-16","-5.2","-12.1","8.3","-13.6","14.7","-11.8","2.1","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-17","-5.1","-12.1","8.6","-13.6","14.9","-11.8","2.2","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-18","-5.0","-12.1","8.7","-13.6","15.1","-11.7","2.3","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-19","-4.9","-12.1","8.9","-13.6","15.3","-11.7","2.5","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-20","-4.9","-12.1","9.1","-13.5","15.6","-11.7","2.7","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-21","-4.8","-12.0","9.3","-13.5","15.8","-11.7","2.8","-13.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-22","-4.7","-12.0","9.5","-13.5","16.1","-11.7","2.9","-13.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-23","-4.6","-11.9","9.7","-13.4","16.3","-11.7","3.1","-13.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-24","-4.6","-11.9","9.9","-13.4","16.5","-11.7","3.3","-13.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-25","-4.5","-11.9","10.1","-13.4","16.7","-11.7","3.4","-13.7"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-26","-4.4","-11.9","10.2","-13.4","16.9","-11.7","3.6","-13.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-27","-4.3","-11.9","10.4","-13.4","17.1","-11.7","3.7","-13.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-28","-4.3","-11.9","10.6","-13.4","17.3","-11.7","3.8","-13.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-29","-4.2","-11.9","10.8","-13.4","17.6","-11.7","4.0","-13.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","04-30","-4.2","-11.9","10.9","-13.4","17.7","-11.7","4.1","-13.6"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-01","-4.1","-11.9","11.1","-13.5","17.9","-11.8","4.3","-13.6"
